type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	37.362037461	-80.613304508	1079.5	#ff0000	1.00	2	Untitled Path		Untitled Path.kml
T	37.324455770	-80.718641030	552.2						
T	37.214214168	-80.747727048	583.0						
T	37.189977937	-80.749126343	640.7						
T	37.138671074	-80.749234381	622.6						
T	37.122478292	-80.745218954	626.3						
T	37.147453440	-80.717923202	607.4						
T	37.267125190	-80.661600955	633.5						
T	37.303253129	-80.648518867	504.0						
T	37.325957844	-80.639872944	516.0						
T	37.343371582	-80.632195412	625.9						
T	37.315371633	-80.647635420	486.8						
T	37.245926112	-80.681510424	572.9						
T	37.189878983	-80.699755344	748.0						
T	37.101644619	-80.726330942	645.0						
T	37.064021172	-80.734910735	603.8						
T	37.057080117	-80.735437559	598.2						
T	37.070886133	-80.729611250	632.9						
T	37.127470518	-80.712671850	641.7						
T	37.231395830	-80.683239152	657.6						
T	37.276184353	-80.671313357	566.0						
T	37.310847037	-80.659610322	561.3						
T	37.330502933	-80.655017229	624.0						
T	37.338768540	-80.653948122	655.1						
T	37.264806286	-80.689195245	587.3						
T	37.216672115	-80.704139102	682.0						
T	37.173869249	-80.717460346	634.5						
T	37.133765609	-80.727898666	627.3						
T	37.128768302	-80.728693456	626.2						
T	37.147453440	-80.717923202	607.4						
T	37.205368146	-80.695767530	677.4						
T	37.264433088	-80.669390797	627.8						
T	37.289299160	-80.655963495	639.2						
T	37.271547574	-80.661808513	613.2						
T	37.166894503	-80.698239774	602.8						
T	37.105267995	-80.713353874	640.4						
T	37.095598055	-80.714991447	633.5						
T	37.090753379	-80.713398000	641.9						
T	37.116285206	-80.694778101	643.1						
T	37.196404483	-80.650740727	610.8						
T	37.221094953	-80.638906950	578.4						
T	37.233858977	-80.628944879	665.2						
T	37.136325235	-80.659279338	620.6						
T	37.107817045	-80.667592301	646.9						
T	37.081344304	-80.672137908	640.7						
T	37.067307262	-80.672529570	596.1						
T	37.059429750	-80.670920513	611.9						
T	37.073359643	-80.656281467	606.2						
T	37.123952311	-80.630613124	611.9						
T	37.197539640	-80.598657489	508.4						
T	37.216513138	-80.589928333	594.4						
T	37.225809311	-80.588717363	614.4						
T	37.201802862	-80.610188758	512.9						
T	37.142736095	-80.644787230	610.6						
T	37.096870985	-80.668208705	632.7						
T	37.033063609	-80.693750012	620.4						
T	37.017563177	-80.700696146	640.0						
T	37.043408618	-80.693337357	587.4						
T	37.106581781	-80.671152214	657.0						
T	37.160680655	-80.649239340	565.1						
T	37.267128255	-80.603570483	501.7						
T	37.293065117	-80.590609937	578.4						
