type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	37.394625529	-79.288170284	243.7	Untitled Path		bb.kml
T	37.544366026	-79.679352968	380.9			
T	37.490524727	-79.686642010	476.1			
T	37.459041567	-79.688106843	399.5			
T	37.432500522	-79.686595032	308.5			
T	37.361569970	-79.681694366	313.7			
T	37.335492712	-79.680330109	302.3			
T	37.295186631	-79.679760065	298.0			
T	37.259125485	-79.679768750	312.9			
T	37.251993055	-79.680130794	388.8			
T	37.243122360	-79.680117454	311.8			
T	37.197720641	-79.679636634	301.8			
T	37.182273792	-79.679936475	291.5			
T	37.168656366	-79.678784277	266.8			
T	37.155156803	-79.677639688	241.9			
T	37.141767973	-79.674710351	267.4			
T	37.135107246	-79.669679926	261.1			
T	37.133456572	-79.665757750	240.9			
T	37.131802555	-79.656490913	241.9			
T	37.130145954	-79.643671087	272.8			
T	37.128489875	-79.630866830	281.2			
T	37.126868680	-79.610985434	282.4			
T	37.126855853	-79.586083900	280.9			
T	37.125093857	-79.566164829	266.2			
T	37.123294302	-79.533829518	268.0			
T	37.121641991	-79.524676228	252.9			
T	37.118333310	-79.499312400	229.7			
T	37.111710407	-79.462895164	240.2			
T	37.108343124	-79.437665610	226.0			
T	37.103416692	-79.410554597	274.3			
T	37.098488411	-79.376501911	165.8			
T	37.095221422	-79.353286501	226.0			
T	37.095206684	-79.344501322	229.6			
T	37.091956429	-79.321354836	197.6			
T	37.088689368	-79.291247965	201.3			
T	37.085452837	-79.268217235	218.2			
T	37.085421817	-79.250710165	219.1			
T	37.083779001	-79.226101692	207.7			
T	37.082148459	-79.208515699	185.1			
T	37.078903473	-79.180390127	204.2			
T	37.075670763	-79.155817374	172.1			
T	37.074041418	-79.138319882	188.8			
T	37.070807436	-79.115576430	153.5			
T	37.069138769	-79.096387446	138.4			
T	37.065912746	-79.082423953	155.6			
T	37.065843991	-79.068511329	172.0			
T	37.062613083	-79.052859259	166.2			
T	37.062543983	-79.038963634	175.6			
T	37.060926636	-79.026819162	159.6			
T	37.060892644	-79.018139375	139.7			
T	37.062427980	-79.004224182	136.6			
T	37.063980009	-78.993768548	175.7			
T	37.065525479	-78.979822071	159.9			
T	37.068660506	-78.971034684	172.3			
T	37.070224510	-78.964019901	167.1			
T	37.078127951	-78.955035610	160.9			
T	37.092471473	-78.944003903	129.3			
T	37.118315699	-78.932385196	133.8			
T	37.144622067	-78.924130282	184.4			
T	37.176448938	-78.913678343	183.0			
T	37.221240022	-78.902362819	223.5			
T	37.269198831	-78.892460077	201.9			
T	37.300222218	-78.887029080	212.0			
T	37.331872337	-78.881483625	233.8			
T	37.356530239	-78.878178381	248.7			
T	37.371961154	-78.875365554	216.6			
T	37.389493107	-78.870467775	237.9			
T	37.403268924	-78.867702791	199.3			
T	37.413178815	-78.865153475	195.2			
T	37.421141802	-78.862710818	205.9			
T	37.433154317	-78.858038619	221.4			
T	37.439194093	-78.855688878	216.1			
T	37.447319702	-78.855175901	220.3			
T	37.461649361	-78.852281002	208.2			
T	37.476106425	-78.849359253	183.6			
T	37.490692607	-78.846410204	196.4			
T	37.501196670	-78.845724871	182.8			
T	37.516008308	-78.842734970	176.3			
T	37.522392680	-78.840286852	133.4			
T	37.533073513	-78.837543356	166.4			
T	37.543770686	-78.832747742	170.8			
T	37.552384975	-78.830115220	158.3			
T	37.561031244	-78.825417851	138.6			
T	37.567551252	-78.822905632	166.8			
T	37.576288014	-78.820226969	117.8			
T	37.589496998	-78.819284788	182.3			
T	37.598347598	-78.816578006	109.5			
T	37.596127438	-78.816737854	116.2			
T	37.674884673	-79.725162496	434.9			
T	37.583678448	-79.732541976	262.5			
T	37.531567881	-79.737882719	298.3			
T	37.467079020	-79.741471177	370.4			
T	37.407140811	-79.748040156	372.1			
T	37.346181969	-79.758912698	550.3			
T	37.311180616	-79.766207219	341.7			
T	37.266533534	-79.778510962	290.8			
T	37.211649161	-79.788987441	276.7			
T	37.173757903	-79.795707274	310.1			
T	37.150208914	-79.798647432	341.0			
T	37.123756159	-79.797131796	279.1			
T	37.107458206	-79.796419047	288.6			
T	37.094534878	-79.793025520	335.5			
T	37.083306912	-79.788316300	305.5			
T	37.075345812	-79.784481140	282.1			
T	37.070589792	-79.779745218	289.4			
T	37.064272081	-79.771132802	243.3			
T	37.059550969	-79.761220356	267.0			
T	37.054843431	-79.747868793	255.6			
T	37.051710764	-79.733212398	258.3			
