type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	38.107541575	-80.929256408	608.5	Untitled Path		bb.kml
T	37.152489339	-81.147115169	725.7			
T	37.055723430	-81.177740829	829.9			
T	36.972409208	-81.205706469	820.7			
T	36.916122638	-81.220267651	753.4			
T	36.840069604	-81.238474094	756.0			
T	36.785368168	-81.252243133	819.1			
T	36.755892721	-81.258376699	1095.5			
T	36.717102256	-81.266555688	876.7			
T	36.697918770	-81.270644788	1011.3			
T	36.674054924	-81.278042121	1102.2			
T	36.640921576	-81.287385339	895.2			
T	36.613119297	-81.284300153	888.1			
T	36.594747752	-81.269964283	782.7			
T	36.581059852	-81.247760288	851.3			
T	36.571987457	-81.222290387	781.8			
T	36.562873441	-81.196856778	807.8			
T	36.535471331	-81.116340560	1001.4			
T	36.503822463	-80.994647569	783.6			
T	36.482040147	-80.881168533	552.5			
T	36.451797809	-80.762418000	388.2			
T	36.408919268	-80.620298082	382.5			
T	36.369914141	-80.493783967	322.5			
T	36.356867819	-80.447524097	348.7			
T	36.318346237	-80.332015075	337.2			
T	36.297383616	-80.268096835	270.2			
T	36.272495237	-80.182464939	219.6			
T	36.251876795	-80.106601293	219.6			
T	36.230965557	-80.035478712	223.2			
T	36.210199146	-79.969166109	245.1			
T	36.193909998	-79.886529785	255.4			
T	36.189840443	-79.869149853	255.4			
T	36.181738794	-79.804564690	220.7			
T	36.169682038	-79.744262119	241.7			
T	36.153605199	-79.688316623	241.8			
T	36.133567655	-79.611386496	225.5			
T	36.117736765	-79.539227476	198.0			
T	36.101948236	-79.459012442	202.2			
T	36.090045350	-79.383351785	178.5			
T	36.086057992	-79.341384980	168.8			
T	36.082061416	-79.303673490	186.6			
T	36.085963117	-79.274134790	207.1			
T	36.093880121	-79.240185665	211.9			
T	36.101806650	-79.210361272	213.3			
T	36.109733750	-79.184679813	204.0			
T	36.109729532	-79.180458992	199.4			
T	36.113693130	-79.163366075	200.0			
T	36.121650554	-79.146029257	189.9			
T	36.141618716	-79.102485132	197.5			
T	36.161864999	-79.067138052	168.0			
T	36.182149406	-79.040113351	191.0			
T	36.198440832	-79.017509613	185.6			
T	36.223092336	-78.989815843	182.8			
T	36.256322576	-78.961175371	159.2			
T	36.319382317	-78.920865037	195.7			
T	36.383781603	-78.884099888	162.6			
T	36.494113082	-78.828526324	151.1			
T	36.612848686	-78.770392200	134.8			
T	36.702277071	-78.727919411	120.2			
T	36.848748028	-78.658480279	100.3			
T	36.929540089	-78.619445254	117.4			
T	37.006983176	-78.584997169	127.2			
T	37.113036775	-78.536080077	142.0			
T	37.216948500	-78.491322549	144.7			
T	37.301213719	-78.453610329	133.2			
T	37.405279582	-78.417310368	96.2			
T	37.476238378	-78.385532821	129.8			
T	37.512172909	-78.369410545	94.3			
T	37.566668448	-78.350216175	121.9			
