type	latitude	longitude	altitude (ft)	name	desc	kml_folder
T	37.377912396	-80.141867374	1940.2	Untitled Path		final_bb.kmz
T	37.590242694	-80.658179279	2200.8			
T	37.478212827	-80.681699084	2215.1			
T	37.429529789	-80.687359572	2063.7			
T	37.371078905	-80.699041692	1981.2			
T	37.297998058	-80.716671065	1867.1			
T	37.244412029	-80.728354399	1992.4			
T	37.200560699	-80.740109733	2142.5			
T	37.161612269	-80.745807032	2213.2			
T	37.132379689	-80.751666612	2082.2			
T	37.103097572	-80.763654775	2115.5			
T	37.073855626	-80.769509837	2036.7			
T	37.039706406	-80.781395424	2011.6			
T	37.020153258	-80.793412523	2379.6			
T	37.010506029	-80.781118281	2203.4			
T	37.010632812	-80.762818042	2319.1			
T	37.015715350	-80.732329080	2129.4			
T	37.015925525	-80.701792847	2065.0			
T	37.011366521	-80.652944131	2017.3			
T	37.011708477	-80.591983104	2378.0			
T	37.011923265	-80.549326320	2099.6			
T	37.012154300	-80.500574932	2206.1			
T	37.012366017	-80.451821409	2022.8			
T	37.002878306	-80.390829844	2271.6			
T	37.002900487	-80.384737300	2235.3			
T	37.003066219	-80.335999068	2557.3			
T	36.998313852	-80.287299565	2403.3			
T	36.998418385	-80.232523380	2474.4			
T	36.993706148	-80.165489957	2629.5			
T	36.993765699	-80.122860944	2667.4			
T	36.988945225	-80.074146479	1441.0			
T	36.988948061	-80.025452779	1346.0			
T	36.984039094	-79.952400823	1255.2			
T	36.974260203	-79.891519619	990.5			
T	36.974204388	-79.848896047	1173.4			
T	36.969256847	-79.800190805	1009.1			
T	36.969125699	-79.739293519	941.1			
T	36.968980727	-79.684478211	858.1			
T	36.968831168	-79.635748812	875.8			
T	36.968729232	-79.605293476	884.9			
T	36.973445029	-79.562629514	853.5			
T	36.973422151	-79.556538159	871.9			
T	36.978122310	-79.513870121	730.7			
T	36.982913035	-79.495564549	708.2			
T	36.997324850	-79.452820749	799.2			
T	37.002101234	-79.434498834	863.4			
T	37.006779088	-79.397882333	873.9			
T	37.011446501	-79.361258355	843.7			
T	37.016101474	-79.324622288	943.5			
T	37.020705864	-79.281876847	835.7			
T	37.020467383	-79.245265850	839.5			
T	37.025127896	-79.214706374	677.8			
T	37.029736672	-79.178036358	590.8			
T	37.029511137	-79.147514989	522.5			
T	37.034052627	-79.104725367	579.7			
T	37.043497914	-79.067975473	515.0			
T	37.043296407	-79.043544736	469.9			
T	37.047854304	-79.006835855	533.8			
T	37.057380419	-78.982277433	493.1			
T	37.062250562	-78.982216386	486.7			
T	37.091414297	-78.975737599	576.9			
T	37.130315646	-78.969128729	527.0			
T	37.154661481	-78.968818562	455.3			
T	37.183821429	-78.962326096	552.0			
T	37.227586202	-78.955640106	608.7			
T	37.232454501	-78.955577161	631.8			
T	37.261666041	-78.955205236	755.7			
T	37.295742717	-78.954727267	772.0			
T	37.334635878	-78.948052158	783.8			
T	37.373582497	-78.947505131	711.1			
T	37.402793287	-78.947094448	737.3			
T	37.436820328	-78.940474563	670.5			
T	37.480643563	-78.939826121	596.5			
T	37.495252248	-78.939607419	435.6			
T	37.514731702	-78.939315699	549.3			
T	37.534263001	-78.945174086	690.2			
T	37.578095110	-78.944520566	648.3			
T	37.597627493	-78.950385734	587.5			
T	37.636577755	-78.949850748	685.7			
T	37.656042661	-78.949605703	636.9			
T	37.680372186	-78.949300543	710.6			
T	37.704749310	-78.955158596	613.6			
T	37.719490138	-78.973469094	592.5			
T	37.724589744	-79.004230379	686.7			
T	37.724726457	-79.022721596	719.3			
T	37.724860105	-79.041211847	788.6			
T	37.725159826	-79.084354473	827.5			
T	37.725405970	-79.121327941	1294.8			
T	37.725601866	-79.152135070	2059.4			
T	37.720890692	-79.176824129	1875.4			
T	37.721127059	-79.213753368	2398.3			
T	37.716485861	-79.250728997	2061.7			
T	37.716662299	-79.281501501	1381.4			
T	37.716822378	-79.312285454	2056.8			
T	37.712138321	-79.349264099	1870.5			
T	37.712295514	-79.380023584	963.5			
T	37.712480242	-79.416927527	1165.8			
T	37.712713801	-79.472302852	936.6			
T	37.707979424	-79.515429350	1072.0			
T	37.708085552	-79.552354476	1788.9			
T	37.703332747	-79.595450765	1338.6			
T	37.703423627	-79.632355403	1531.8			
T	37.703626405	-79.693820162	2532.7			
T	37.703745174	-79.736852786	1842.1			
T	37.703815467	-79.767594659	1351.4			
T	37.708745218	-79.798324908	1151.8			
T	37.708782904	-79.829073824	962.7			
T	37.708806944	-79.859821528	1222.1			
T	37.708826584	-79.896717213	1333.8			
T	37.708844620	-79.933611266	2774.4			
T	37.713715838	-79.958204970	2323.4			
T	37.713705535	-79.988949048	2162.0			
T	37.723371720	-80.044278949	1290.3			
T	37.728196577	-80.081173146	1589.1			
T	37.728144570	-80.118061160	2496.2			
T	37.728092887	-80.148798852	2774.9			
T	37.728031460	-80.185688364	1969.1			
T	37.727935343	-80.234875442	2144.0			
T	37.727921845	-80.241023718	2533.2			
T	37.727763348	-80.302499582	2401.2			
T	37.732448919	-80.376352463	2457.4			
T	37.732352519	-80.413284536	2354.4			
T	37.732238848	-80.450214545	2196.5			
T	37.732156278	-80.474836685	2182.2			
T	37.727178616	-80.505578750	1908.3			
T	37.727039611	-80.542518843	1999.8			
T	37.731807655	-80.567189983	1944.4			
T	37.731664712	-80.597966741	1843.3			
T	37.721813047	-80.622500454	1744.1			
T	37.712081118	-80.622414009	2219.1			
T	37.687720614	-80.628349234	2050.7			
T	37.663360671	-80.634277161	1815.9			
T	37.643862394	-80.640240969	1818.8			
T	37.624364436	-80.646201490	1846.6			
T	37.600004776	-80.652121271	1976.4			
T	37.551289072	-80.663964002	1746.7			
